year,state_fips,county_fips,totperm,totval,units_1unit,value_1unit,units_2unit,value_2unit,units_3to4unit,value_3to4unit,units_5punit,value_5punit,source
1994,08,059,3473,356776078,2739,311817558,28,1866466,66,4820552,640,38271502,census_bps_county
1994,08,061,1,117000,1,117000,0,0,0,0,0,0,census_bps_county
1994,08,063,21,1633586,15,1133586,2,250000,4,250000,0,0,census_bps_county
1994,08,065,22,1615574,16,1312931,2,85997,4,216646,0,0,census_bps_county
1994,08,067,592,59731558,530,55025480,52,4263578,4,187500,6,255000,census_bps_county
1994,08,069,3202,282266940,2514,253240193,50,3786128,128,6111729,510,19128890,census_bps_county
1994,08,071,64,4612721,58,4387721,0,0,0,0,6,225000,census_bps_county
1994,08,073,2,113000,2,113000,0,0,0,0,0,0,census_bps_county
1994,08,075,36,2963225,36,2963225,0,0,0,0,0,0,census_bps_county
1994,08,077,924,76666301,882,74551658,22,1215987,20,898656,0,0,census_bps_county
1994,08,079,16,931473,16,931473,0,0,0,0,0,0,census_bps_county
1994,08,081,24,2452752,24,2452752,0,0,0,0,0,0,census_bps_county
1994,08,083,57,2805724,35,2325937,14,315000,8,164787,0,0,census_bps_county
1994,08,085,364,18263856,294,15439085,14,694641,14,539645,42,1590485,census_bps_county
1994,08,087,191,11615113,125,8928894,2,47762,4,95524,60,2542933,census_bps_county
1994,08,089,16,1583688,16,1583688,0,0,0,0,0,0,census_bps_county
1994,08,091,91,21107557,91,21107557,0,0,0,0,0,0,census_bps_county
1994,08,093,426,29592217,426,29592217,0,0,0,0,0,0,census_bps_county
1994,08,095,6,346400,6,346400,0,0,0,0,0,0,census_bps_county
1994,08,097,188,79418503,122,66778530,2,630000,23,3587385,41,8422588,census_bps_county
1994,08,099,8,603915,8,603915,0,0,0,0,0,0,census_bps_county
1994,08,101,657,66954902,590,63568930,46,2607052,16,614920,5,164000,census_bps_county
1994,08,103,15,908000,15,908000,0,0,0,0,0,0,census_bps_county
1994,08,105,7,576344,7,576344,0,0,0,0,0,0,census_bps_county
1994,08,107,448,50567313,271,38255479,44,5484527,30,2039787,103,4787520,census_bps_county
1994,08,109,70,3207186,70,3207186,0,0,0,0,0,0,census_bps_county
1994,08,111,2,155000,2,155000,0,0,0,0,0,0,census_bps_county
1994,08,113,353,53704932,121,36695761,16,1305672,28,3639051,188,12064448,census_bps_county
1994,08,115,1,112000,1,112000,0,0,0,0,0,0,census_bps_county
1994,08,117,862,121456227,506,89132660,52,7960279,52,6522040,252,17841248,census_bps_county
1994,08,119,250,22251364,248,22065164,2,186200,0,0,0,0,census_bps_county
1994,08,121,1,72000,1,72000,0,0,0,0,0,0,census_bps_county
1994,08,123,1164,101601684,1078,98052706,18,873142,48,1743808,20,932028,census_bps_county
1994,08,125,8,596000,8,596000,0,0,0,0,0,0,census_bps_county
1995,08,001,3360,263424542,2412,222813380,4,197600,24,1388508,920,39025054,census_bps_county
1995,08,003,9,554750,9,554750,0,0,0,0,0,0,census_bps_county
1995,08,005,3556,323269533,2069,251824133,0,0,60,3605834,1427,67839566,census_bps_county
1995,08,007,248,31206262,232,30074262,16,1132000,0,0,0,0,census_bps_county
1995,08,009,4,100000,4,100000,0,0,0,0,0,0,census_bps_county
1995,08,011,19,1048000,19,1048000,0,0,0,0,0,0,census_bps_county
1995,08,013,3094,304931228,2116,251395390,38,2337380,32,2007293,908,49191165,census_bps_county
1995,08,015,212,16221648,198,15450603,14,771045,0,0,0,0,census_bps_county
1995,08,017,2,161500,2,161500,0,0,0,0,0,0,census_bps_county
1995,08,019,83,10649686,83,10649686,0,0,0,0,0,0,census_bps_county
1995,08,021,1,57000,1,57000,0,0,0,0,0,0,census_bps_county
1995,08,025,1,60000,1,60000,0,0,0,0,0,0,census_bps_county
1995,08,027,92,9457784,92,9457784,0,0,0,0,0,0,census_bps_county
1995,08,029,47,3293440,37,2827035,2,63040,0,0,8,403365,census_bps_county
1995,08,031,786,65324224,483,43010403,18,2225512,3,175042,282,19913267,census_bps_county
1995,08,033,12,1233624,12,1233624,0,0,0,0,0,0,census_bps_county
1995,08,035,4784,646772753,4061,608177651,12,1148348,0,0,711,37446754,census_bps_county
1995,08,037,1028,199965463,574,140306147,112,24213595,43,5557500,299,29888221,census_bps_county
1995,08,039,494,57493338,488,57191694,6,301644,0,0,0,0,census_bps_county
1995,08,041,4725,351683587,3425,317372997,22,972800,20,757800,1258,32579990,census_bps_county
1995,08,043,336,20358413,294,19039413,10,544000,0,0,32,775000,census_bps_county
1995,08,045,406,43304670,375,41058201,8,853641,6,312504,17,1080324,census_bps_county
1995,08,047,67,5441648,67,5441648,0,0,0,0,0,0,census_bps_county
1995,08,049,247,23801254,226,22306236,2,75140,13,992801,6,427077,census_bps_county
1995,08,051,325,35113252,240,29229351,28,2614439,10,777692,47,2491770,census_bps_county
1995,08,053,17,1494765,17,1494765,0,0,0,0,0,0,census_bps_county
1995,08,055,71,5163688,71,5163688,0,0,0,0,0,0,census_bps_county
1995,08,057,17,818807,17,818807,0,0,0,0,0,0,census_bps_county
1995,08,059,4382,392031709,2653,308834488,54,3783503,61,4515708,1614,74898010,census_bps_county
1995,08,061,4,190000,4,190000,0,0,0,0,0,0,census_bps_county
1995,08,063,20,1652302,15,1214802,2,250000,3,187500,0,0,census_bps_county
1995,08,065,32,2796891,30,2716486,2,80405,0,0,0,0,census_bps_county
1995,08,067,643,62588668,499,53983056,30,2075827,34,2660211,80,3869574,census_bps_county
1995,08,069,2797,254499989,2186,224994014,86,4249458,104,5960410,421,19296107,census_bps_county
1995,08,071,108,9195012,84,8355012,0,0,0,0,24,840000,census_bps_county
1995,08,073,6,446000,6,446000,0,0,0,0,0,0,census_bps_county
1995,08,075,85,6106276,53,4921780,0,0,0,0,32,1184496,census_bps_county
1995,08,077,941,79548971,832,72967030,72,4941084,7,376946,30,1263911,census_bps_county
1995,08,079,25,1457000,25,1457000,0,0,0,0,0,0,census_bps_county
1995,08,081,44,2791793,44,2791793,0,0,0,0,0,0,census_bps_county
1995,08,083,57,4270617,36,3238997,6,220000,4,153600,11,658020,census_bps_county
1995,08,085,258,17834398,180,14520737,14,909105,6,168912,58,2235644,census_bps_county
1995,08,087,98,7706342,98,7706342,0,0,0,0,0,0,census_bps_county
1995,08,089,51,3546692,35,3000683,0,0,8,273005,8,273004,census_bps_county
1995,08,091,96,17814185,93,17565385,0,0,3,248800,0,0,census_bps_county
1995,08,093,452,32124375,452,32124375,0,0,0,0,0,0,census_bps_county
1995,08,095,8,825178,8,825178,0,0,0,0,0,0,census_bps_county
1995,08,097,83,44599147,77,42382647,6,2216500,0,0,0,0,census_bps_county
1995,08,099,5,369000,5,369000,0,0,0,0,0,0,census_bps_county
1995,08,101,938,89383138,820,82922550,70,4803434,4,262154,44,1395000,census_bps_county
1995,08,103,17,904595,17,904595,0,0,0,0,0,0,census_bps_county
1995,08,105,113,11055530,113,11055530,0,0,0,0,0,0,census_bps_county
1995,08,107,443,56887962,251,42980769,34,4300510,24,2537598,134,7069085,census_bps_county
1995,08,109,48,2413530,48,2413530,0,0,0,0,0,0,census_bps_county
1995,08,111,6,997098,6,997098,0,0,0,0,0,0,census_bps_county
1995,08,113,114,29548289,83,24553009,12,1081920,12,2136200,7,1777160,census_bps_county
1995,08,115,0,0,0,0,0,0,0,0,0,0,census_bps_county
1995,08,117,947,143725031,466,91053108,22,3785827,170,24463666,289,24422430,census_bps_county
1995,08,119,263,27536997,253,27183384,2,145000,0,0,8,208613,census_bps_county
1995,08,121,12,984785,12,984785,0,0,0,0,0,0,census_bps_county
1995,08,123,1470,129672875,1284,122815304,26,1116853,99,2862018,61,2878700,census_bps_county
1995,08,125,13,886200,11,853700,2,32500,0,0,0,0,census_bps_county
1996,08,001,2894,263233588,2573,245929378,52,2893165,73,5017505,196,9393540,census_bps_county
1996,08,003,68,4887049,60,4601609,2,76440,0,0,6,209000,census_bps_county
1996,08,005,3721,350071171,2498,284615947,2,177331,39,2943697,1182,62334196,census_bps_county
1996,08,007,249,37447975,229,36034975,4,368000,4,162000,12,883000,census_bps_county
1996,08,009,5,125000,5,125000,0,0,0,0,0,0,census_bps_county
1996,08,011,52,2355500,14,561000,4,258500,4,380000,30,1156000,census_bps_county
1996,08,013,2744,269330600,1752,217745152,22,1660588,35,2483500,935,47441360,census_bps_county
1996,08,015,253,19618316,223,18286635,18,818573,12,513108,0,0,census_bps_county
1996,08,017,2,190000,2,190000,0,0,0,0,0,0,census_bps_county
1996,08,019,93,13965771,93,13965771,0,0,0,0,0,0,census_bps_county
1996,08,021,168,4296482,168,4296482,0,0,0,0,0,0,census_bps_county
1996,08,025,2,80000,2,80000,0,0,0,0,0,0,census_bps_county
1996,08,027,81,8513704,79,8359306,2,154398,0,0,0,0,census_bps_county
1996,08,029,59,4801075,42,3998879,0,0,4,269911,13,532285,census_bps_county
1996,08,031,1432,107835250,670,67639269,48,5694224,51,2048104,663,32453653,census_bps_county
1996,08,033,6,634884,6,634884,0,0,0,0,0,0,census_bps_county
1996,08,035,5730,780645687,4794,727572159,18,1612280,12,1108540,906,50352708,census_bps_county
1996,08,037,979,209761242,496,132318325,106,21693223,169,19139689,208,36610005,census_bps_county
1996,08,039,418,40417977,416,40318933,2,99044,0,0,0,0,census_bps_county
1996,08,041,5292,432178837,4033,391252176,34,2292900,52,1278000,1173,37355761,census_bps_county
1996,08,043,241,20673114,235,20264178,6,408936,0,0,0,0,census_bps_county
1996,08,045,384,47026876,312,40073254,34,4230775,26,1736687,12,986160,census_bps_county
1996,08,047,254,20970621,86,11601721,0,0,0,0,168,9368900,census_bps_county
1996,08,049,282,36985184,249,33172615,8,1155493,19,1879246,6,777830,census_bps_county
1996,08,051,235,29973606,198,26256471,16,1489272,11,927863,10,1300000,census_bps_county
1996,08,053,29,2731800,26,2676800,0,0,3,55000,0,0,census_bps_county
1996,08,055,96,7040000,92,6880000,4,160000,0,0,0,0,census_bps_county
1996,08,057,25,1524785,25,1524785,0,0,0,0,0,0,census_bps_county
1996,08,059,3154,303532770,1987,244743459,52,3860028,44,2469250,1071,52460033,census_bps_county
1996,08,061,1,70000,1,70000,0,0,0,0,0,0,census_bps_county
1996,08,063,18,2094068,12,1187068,0,0,0,0,6,907000,census_bps_county
1996,08,065,43,3470892,37,3267568,2,80405,4,122919,0,0,census_bps_county
